test_url.py                139 DEBUG    [test_example_uri] start
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/d56ee94d-75f3-407d-8a19-4f9812ba723c/value {"text": "username1@name.ru", "value": ["u", "s", "e", "r", "n", "a", "m", "e", "1", "@", "n", "a", "m", "e", ".", "r", "u"], "id": "d56ee94d-75f3-407d-8a19-4f9812ba723c"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/f730bebe-a3d8-4d5a-9c7d-09b651721bd4/value {"text": "pass1", "value": ["p", "a", "s", "s", "1"], "id": "f730bebe-a3d8-4d5a-9c7d-09b651721bd4"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/dafa6c4e-afc0-4106-a1ed-9d97694c6f95/click {"id": "dafa6c4e-afc0-4106-a1ed-9d97694c6f95"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element {"using": "css selector", "value": "amount-inputs"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element {"using": "xpath", "value": "//amount-inputs"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/7e318347-3dc3-4cdd-a0c5-d3fb9812d6f0/element {"using": "xpath", "value": ".//div[@class='amount']/input[@name='amount']", "id": "7e318347-3dc3-4cdd-a0c5-d3fb9812d6f0"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/4b950dca-ebc8-4b24-b080-e6fc1a3a5975/clear {"id": "4b950dca-ebc8-4b24-b080-e6fc1a3a5975"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/4b950dca-ebc8-4b24-b080-e6fc1a3a5975/value {"text": "10002", "value": ["1", "0", "0", "0", "2"], "id": "4b950dca-ebc8-4b24-b080-e6fc1a3a5975"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/7e318347-3dc3-4cdd-a0c5-d3fb9812d6f0/element {"using": "xpath", "value": ".//rg-select/div[@name='selectfield']", "id": "7e318347-3dc3-4cdd-a0c5-d3fb9812d6f0"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/078d9dbd-e3e2-4641-92f2-726b854dfe72/click {"id": "078d9dbd-e3e2-4641-92f2-726b854dfe72"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/7e318347-3dc3-4cdd-a0c5-d3fb9812d6f0/elements {"using": "xpath", "value": ".//rg-select/ul", "id": "7e318347-3dc3-4cdd-a0c5-d3fb9812d6f0"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/cd95bbfb-2fd0-43f1-9fd8-f83592a42b89/element {"using": "xpath", "value": ".//li", "id": "cd95bbfb-2fd0-43f1-9fd8-f83592a42b89"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/9348efc8-313b-47df-bcb0-bfffeebfd3b3/element {"using": "xpath", "value": ".//span", "id": "9348efc8-313b-47df-bcb0-bfffeebfd3b3"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/execute/sync {"script": "return (function(){return function(){var d=this;function f(a){return\"string\"==typeof a};function h(a,b){this.code=a;this.a=l[a]||m;this.message=b||\"\";a=this.a.replace(/((?:^|\\s+)[a-z])/g,function(a){return a.toUpperCase().replace(/^[\\s\\xa0]+/g,\"\")});b=a.length-5;if(0>b||a.indexOf(\"Error\",b)!=b)a+=\"Error\";this.name=a;a=Error(this.message);a.name=this.name;this.stack=a.stack||\"\"}\n(function(){var a=Error;function b(){}b.prototype=a.prototype;h.b=a.prototype;h.prototype=new b;h.prototype.constructor=h;h.a=function(b,c,g){for(var e=Array(arguments.length-2),k=2;k<arguments.length;k++)e[k-2]=arguments[k];return a.prototype[c].apply(b,e)}})();var m=\"unknown error\",l={15:\"element not selectable\",11:\"element not visible\"};l[31]=m;l[30]=m;l[24]=\"invalid cookie domain\";l[29]=\"invalid element coordinates\";l[12]=\"invalid element state\";l[32]=\"invalid selector\";l[51]=\"invalid selector\";\nl[52]=\"invalid selector\";l[17]=\"javascript error\";l[405]=\"unsupported operation\";l[34]=\"move target out of bounds\";l[27]=\"no such alert\";l[7]=\"no such element\";l[8]=\"no such frame\";l[23]=\"no such window\";l[28]=\"script timeout\";l[33]=\"session not created\";l[10]=\"stale element reference\";l[21]=\"timeout\";l[25]=\"unable to set cookie\";l[26]=\"unexpected alert open\";l[13]=m;l[9]=\"unknown command\";h.prototype.toString=function(){return this.name+\": \"+this.message};var n;a:{var p=d.navigator;if(p){var q=p.userAgent;if(q){n=q;break a}}n=\"\"}function r(a){return-1!=n.indexOf(a)};function t(a,b){for(var e=a.length,c=f(a)?a.split(\"\"):a,g=0;g<e;g++)g in c&&b.call(void 0,c[g],g,a)};function v(){return r(\"iPhone\")&&!r(\"iPod\")&&!r(\"iPad\")};function w(){return(r(\"Chrome\")||r(\"CriOS\"))&&!r(\"Edge\")};var x=r(\"Opera\"),y=r(\"Trident\")||r(\"MSIE\"),z=r(\"Edge\"),A=r(\"Gecko\")&&!(-1!=n.toLowerCase().indexOf(\"webkit\")&&!r(\"Edge\"))&&!(r(\"Trident\")||r(\"MSIE\"))&&!r(\"Edge\"),aa=-1!=n.toLowerCase().indexOf(\"webkit\")&&!r(\"Edge\");function B(){var a=d.document;return a?a.documentMode:void 0}var C;\na:{var D=\"\",E=function(){var a=n;if(A)return/rv\\:([^\\);]+)(\\)|;)/.exec(a);if(z)return/Edge\\/([\\d\\.]+)/.exec(a);if(y)return/\\b(?:MSIE|rv)[: ]([^\\);]+)(\\)|;)/.exec(a);if(aa)return/WebKit\\/(\\S+)/.exec(a);if(x)return/(?:Version)[ \\/]?(\\S+)/.exec(a)}();E&&(D=E?E[1]:\"\");if(y){var F=B();if(null!=F&&F>parseFloat(D)){C=String(F);break a}}C=D}var G;var H=d.document;G=H&&y?B()||(\"CSS1Compat\"==H.compatMode?parseInt(C,10):5):void 0;var ba=r(\"Firefox\"),ca=v()||r(\"iPod\"),da=r(\"iPad\"),I=r(\"Android\")&&!(w()||r(\"Firefox\")||r(\"Opera\")||r(\"Silk\")),ea=w(),J=r(\"Safari\")&&!(w()||r(\"Coast\")||r(\"Opera\")||r(\"Edge\")||r(\"Silk\")||r(\"Android\"))&&!(v()||r(\"iPad\")||r(\"iPod\"));function K(a){return(a=a.exec(n))?a[1]:\"\"}(function(){if(ba)return K(/Firefox\\/([0-9.]+)/);if(y||z||x)return C;if(ea)return v()||r(\"iPad\")||r(\"iPod\")?K(/CriOS\\/([0-9.]+)/):K(/Chrome\\/([0-9.]+)/);if(J&&!(v()||r(\"iPad\")||r(\"iPod\")))return K(/Version\\/([0-9.]+)/);if(ca||da){var a=/Version\\/(\\S+).*Mobile\\/(\\S+)/.exec(n);if(a)return a[1]+\".\"+a[2]}else if(I)return(a=K(/Android\\s+([0-9.]+)/))?a:K(/Version\\/([0-9.]+)/);return\"\"})();var L,M=function(){if(!A)return!1;var a=d.Components;if(!a)return!1;try{if(!a.classes)return!1}catch(g){return!1}var b=a.classes,a=a.interfaces,e=b[\"@mozilla.org/xpcom/version-comparator;1\"].getService(a.nsIVersionComparator),c=b[\"@mozilla.org/xre/app-info;1\"].getService(a.nsIXULAppInfo).version;L=function(a){e.compare(c,\"\"+a)};return!0}(),N=y&&!(8<=Number(G)),fa=y&&!(9<=Number(G));I&&M&&L(2.3);I&&M&&L(4);J&&M&&L(6);var ga={SCRIPT:1,STYLE:1,HEAD:1,IFRAME:1,OBJECT:1},O={IMG:\" \",BR:\"\\n\"};function P(a,b,e){if(!(a.nodeName in ga))if(3==a.nodeType)e?b.push(String(a.nodeValue).replace(/(\\r\\n|\\r|\\n)/g,\"\")):b.push(a.nodeValue);else if(a.nodeName in O)b.push(O[a.nodeName]);else for(a=a.firstChild;a;)P(a,b,e),a=a.nextSibling};function Q(a,b){b=b.toLowerCase();return\"style\"==b?ha(a.style.cssText):N&&\"value\"==b&&R(a,\"INPUT\")?a.value:fa&&!0===a[b]?String(a.getAttribute(b)):(a=a.getAttributeNode(b))&&a.specified?a.value:null}var ia=/[;]+(?=(?:(?:[^\"]*\"){2})*[^\"]*$)(?=(?:(?:[^']*'){2})*[^']*$)(?=(?:[^()]*\\([^()]*\\))*[^()]*$)/;\nfunction ha(a){var b=[];t(a.split(ia),function(a){var c=a.indexOf(\":\");0<c&&(a=[a.slice(0,c),a.slice(c+1)],2==a.length&&b.push(a[0].toLowerCase(),\":\",a[1],\";\"))});b=b.join(\"\");return b=\";\"==b.charAt(b.length-1)?b:b+\";\"}function S(a,b){N&&\"value\"==b&&R(a,\"OPTION\")&&null===Q(a,\"value\")?(b=[],P(a,b,!1),a=b.join(\"\")):a=a[b];return a}function R(a,b){b&&\"string\"!==typeof b&&(b=b.toString());return!!a&&1==a.nodeType&&(!b||a.tagName.toUpperCase()==b)}\nfunction T(a){return R(a,\"OPTION\")?!0:R(a,\"INPUT\")?(a=a.type.toLowerCase(),\"checkbox\"==a||\"radio\"==a):!1};var ja={\"class\":\"className\",readonly:\"readOnly\"},U=\"async autofocus autoplay checked compact complete controls declare defaultchecked defaultselected defer disabled draggable ended formnovalidate hidden indeterminate iscontenteditable ismap itemscope loop multiple muted nohref noresize noshade novalidate nowrap open paused pubdate readonly required reversed scoped seamless seeking selected spellcheck truespeed willvalidate\".split(\" \");function V(a,b){var e=null,c=b.toLowerCase();if(\"style\"==c)return(e=a.style)&&!f(e)&&(e=e.cssText),e;if((\"selected\"==c||\"checked\"==c)&&T(a)){if(!T(a))throw new h(15,\"Element is not selectable\");b=\"selected\";e=a.type&&a.type.toLowerCase();if(\"checkbox\"==e||\"radio\"==e)b=\"checked\";return S(a,b)?\"true\":null}var g=R(a,\"A\");if(R(a,\"IMG\")&&\"src\"==c||g&&\"href\"==c)return(e=Q(a,c))&&(e=S(a,c)),e;if(\"spellcheck\"==c){e=Q(a,c);if(null!==e){if(\"false\"==e.toLowerCase())return\"false\";if(\"true\"==e.toLowerCase())return\"true\"}return S(a,\nc)+\"\"}g=ja[b]||b;a:if(f(U))c=f(c)&&1==c.length?U.indexOf(c,0):-1;else{for(var u=0;u<U.length;u++)if(u in U&&U[u]===c){c=u;break a}c=-1}if(0<=c)return(e=null!==Q(a,b)||S(a,g))?\"true\":null;try{var k=S(a,g)}catch(ka){}(c=null==k)||(c=typeof k,c=\"object\"==c&&null!=k||\"function\"==c);c?e=Q(a,b):e=k;return null!=e?e.toString():null}var W=[\"_\"],X=d;W[0]in X||!X.execScript||X.execScript(\"var \"+W[0]);\nfor(var Y;W.length&&(Y=W.shift());){var Z;if(Z=!W.length)Z=void 0!==V;Z?X[Y]=V:X[Y]&&X[Y]!==Object.prototype[Y]?X=X[Y]:X=X[Y]={}};; return this._.apply(null,arguments);}.apply({navigator:typeof window!='undefined'?window.navigator:null,document:typeof window!='undefined'?window.document:null}, arguments);}\n).apply(null, arguments);", "args": [{"ELEMENT": "1dd201e8-35fc-49d5-b0fb-045452b979e4", "element-6066-11e4-a52e-4f735466cecf": "1dd201e8-35fc-49d5-b0fb-045452b979e4"}, "innerHTML"]}
remote_connection.py       573 DEBUG    Finished Request
test_url.py                203 DEBUG    cur: ₽ RUB
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/9348efc8-313b-47df-bcb0-bfffeebfd3b3/click {"id": "9348efc8-313b-47df-bcb0-bfffeebfd3b3"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element {"using": "css selector", "value": "amount-inputs"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element {"using": "xpath", "value": "//payment-system-selector"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/1c455477-0ec7-472f-aa9b-6ff59dad0b49/element {"using": "xpath", "value": ".//rg-select/div[@name='selectfield']", "id": "1c455477-0ec7-472f-aa9b-6ff59dad0b49"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/5ae16811-994b-4350-a752-ee334dbe04d6/click {"id": "5ae16811-994b-4350-a752-ee334dbe04d6"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/1c455477-0ec7-472f-aa9b-6ff59dad0b49/elements {"using": "xpath", "value": ".//rg-select/ul", "id": "1c455477-0ec7-472f-aa9b-6ff59dad0b49"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/48554ec4-9a7a-41a3-96b5-72b42073d035/element {"using": "xpath", "value": ".//li", "id": "48554ec4-9a7a-41a3-96b5-72b42073d035"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/e9e9a93e-1962-41c8-b21e-b125992219b6/element {"using": "xpath", "value": ".//span[@class='title']", "id": "e9e9a93e-1962-41c8-b21e-b125992219b6"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/execute/sync {"script": "return (function(){return function(){var d=this;function f(a){return\"string\"==typeof a};function h(a,b){this.code=a;this.a=l[a]||m;this.message=b||\"\";a=this.a.replace(/((?:^|\\s+)[a-z])/g,function(a){return a.toUpperCase().replace(/^[\\s\\xa0]+/g,\"\")});b=a.length-5;if(0>b||a.indexOf(\"Error\",b)!=b)a+=\"Error\";this.name=a;a=Error(this.message);a.name=this.name;this.stack=a.stack||\"\"}\n(function(){var a=Error;function b(){}b.prototype=a.prototype;h.b=a.prototype;h.prototype=new b;h.prototype.constructor=h;h.a=function(b,c,g){for(var e=Array(arguments.length-2),k=2;k<arguments.length;k++)e[k-2]=arguments[k];return a.prototype[c].apply(b,e)}})();var m=\"unknown error\",l={15:\"element not selectable\",11:\"element not visible\"};l[31]=m;l[30]=m;l[24]=\"invalid cookie domain\";l[29]=\"invalid element coordinates\";l[12]=\"invalid element state\";l[32]=\"invalid selector\";l[51]=\"invalid selector\";\nl[52]=\"invalid selector\";l[17]=\"javascript error\";l[405]=\"unsupported operation\";l[34]=\"move target out of bounds\";l[27]=\"no such alert\";l[7]=\"no such element\";l[8]=\"no such frame\";l[23]=\"no such window\";l[28]=\"script timeout\";l[33]=\"session not created\";l[10]=\"stale element reference\";l[21]=\"timeout\";l[25]=\"unable to set cookie\";l[26]=\"unexpected alert open\";l[13]=m;l[9]=\"unknown command\";h.prototype.toString=function(){return this.name+\": \"+this.message};var n;a:{var p=d.navigator;if(p){var q=p.userAgent;if(q){n=q;break a}}n=\"\"}function r(a){return-1!=n.indexOf(a)};function t(a,b){for(var e=a.length,c=f(a)?a.split(\"\"):a,g=0;g<e;g++)g in c&&b.call(void 0,c[g],g,a)};function v(){return r(\"iPhone\")&&!r(\"iPod\")&&!r(\"iPad\")};function w(){return(r(\"Chrome\")||r(\"CriOS\"))&&!r(\"Edge\")};var x=r(\"Opera\"),y=r(\"Trident\")||r(\"MSIE\"),z=r(\"Edge\"),A=r(\"Gecko\")&&!(-1!=n.toLowerCase().indexOf(\"webkit\")&&!r(\"Edge\"))&&!(r(\"Trident\")||r(\"MSIE\"))&&!r(\"Edge\"),aa=-1!=n.toLowerCase().indexOf(\"webkit\")&&!r(\"Edge\");function B(){var a=d.document;return a?a.documentMode:void 0}var C;\na:{var D=\"\",E=function(){var a=n;if(A)return/rv\\:([^\\);]+)(\\)|;)/.exec(a);if(z)return/Edge\\/([\\d\\.]+)/.exec(a);if(y)return/\\b(?:MSIE|rv)[: ]([^\\);]+)(\\)|;)/.exec(a);if(aa)return/WebKit\\/(\\S+)/.exec(a);if(x)return/(?:Version)[ \\/]?(\\S+)/.exec(a)}();E&&(D=E?E[1]:\"\");if(y){var F=B();if(null!=F&&F>parseFloat(D)){C=String(F);break a}}C=D}var G;var H=d.document;G=H&&y?B()||(\"CSS1Compat\"==H.compatMode?parseInt(C,10):5):void 0;var ba=r(\"Firefox\"),ca=v()||r(\"iPod\"),da=r(\"iPad\"),I=r(\"Android\")&&!(w()||r(\"Firefox\")||r(\"Opera\")||r(\"Silk\")),ea=w(),J=r(\"Safari\")&&!(w()||r(\"Coast\")||r(\"Opera\")||r(\"Edge\")||r(\"Silk\")||r(\"Android\"))&&!(v()||r(\"iPad\")||r(\"iPod\"));function K(a){return(a=a.exec(n))?a[1]:\"\"}(function(){if(ba)return K(/Firefox\\/([0-9.]+)/);if(y||z||x)return C;if(ea)return v()||r(\"iPad\")||r(\"iPod\")?K(/CriOS\\/([0-9.]+)/):K(/Chrome\\/([0-9.]+)/);if(J&&!(v()||r(\"iPad\")||r(\"iPod\")))return K(/Version\\/([0-9.]+)/);if(ca||da){var a=/Version\\/(\\S+).*Mobile\\/(\\S+)/.exec(n);if(a)return a[1]+\".\"+a[2]}else if(I)return(a=K(/Android\\s+([0-9.]+)/))?a:K(/Version\\/([0-9.]+)/);return\"\"})();var L,M=function(){if(!A)return!1;var a=d.Components;if(!a)return!1;try{if(!a.classes)return!1}catch(g){return!1}var b=a.classes,a=a.interfaces,e=b[\"@mozilla.org/xpcom/version-comparator;1\"].getService(a.nsIVersionComparator),c=b[\"@mozilla.org/xre/app-info;1\"].getService(a.nsIXULAppInfo).version;L=function(a){e.compare(c,\"\"+a)};return!0}(),N=y&&!(8<=Number(G)),fa=y&&!(9<=Number(G));I&&M&&L(2.3);I&&M&&L(4);J&&M&&L(6);var ga={SCRIPT:1,STYLE:1,HEAD:1,IFRAME:1,OBJECT:1},O={IMG:\" \",BR:\"\\n\"};function P(a,b,e){if(!(a.nodeName in ga))if(3==a.nodeType)e?b.push(String(a.nodeValue).replace(/(\\r\\n|\\r|\\n)/g,\"\")):b.push(a.nodeValue);else if(a.nodeName in O)b.push(O[a.nodeName]);else for(a=a.firstChild;a;)P(a,b,e),a=a.nextSibling};function Q(a,b){b=b.toLowerCase();return\"style\"==b?ha(a.style.cssText):N&&\"value\"==b&&R(a,\"INPUT\")?a.value:fa&&!0===a[b]?String(a.getAttribute(b)):(a=a.getAttributeNode(b))&&a.specified?a.value:null}var ia=/[;]+(?=(?:(?:[^\"]*\"){2})*[^\"]*$)(?=(?:(?:[^']*'){2})*[^']*$)(?=(?:[^()]*\\([^()]*\\))*[^()]*$)/;\nfunction ha(a){var b=[];t(a.split(ia),function(a){var c=a.indexOf(\":\");0<c&&(a=[a.slice(0,c),a.slice(c+1)],2==a.length&&b.push(a[0].toLowerCase(),\":\",a[1],\";\"))});b=b.join(\"\");return b=\";\"==b.charAt(b.length-1)?b:b+\";\"}function S(a,b){N&&\"value\"==b&&R(a,\"OPTION\")&&null===Q(a,\"value\")?(b=[],P(a,b,!1),a=b.join(\"\")):a=a[b];return a}function R(a,b){b&&\"string\"!==typeof b&&(b=b.toString());return!!a&&1==a.nodeType&&(!b||a.tagName.toUpperCase()==b)}\nfunction T(a){return R(a,\"OPTION\")?!0:R(a,\"INPUT\")?(a=a.type.toLowerCase(),\"checkbox\"==a||\"radio\"==a):!1};var ja={\"class\":\"className\",readonly:\"readOnly\"},U=\"async autofocus autoplay checked compact complete controls declare defaultchecked defaultselected defer disabled draggable ended formnovalidate hidden indeterminate iscontenteditable ismap itemscope loop multiple muted nohref noresize noshade novalidate nowrap open paused pubdate readonly required reversed scoped seamless seeking selected spellcheck truespeed willvalidate\".split(\" \");function V(a,b){var e=null,c=b.toLowerCase();if(\"style\"==c)return(e=a.style)&&!f(e)&&(e=e.cssText),e;if((\"selected\"==c||\"checked\"==c)&&T(a)){if(!T(a))throw new h(15,\"Element is not selectable\");b=\"selected\";e=a.type&&a.type.toLowerCase();if(\"checkbox\"==e||\"radio\"==e)b=\"checked\";return S(a,b)?\"true\":null}var g=R(a,\"A\");if(R(a,\"IMG\")&&\"src\"==c||g&&\"href\"==c)return(e=Q(a,c))&&(e=S(a,c)),e;if(\"spellcheck\"==c){e=Q(a,c);if(null!==e){if(\"false\"==e.toLowerCase())return\"false\";if(\"true\"==e.toLowerCase())return\"true\"}return S(a,\nc)+\"\"}g=ja[b]||b;a:if(f(U))c=f(c)&&1==c.length?U.indexOf(c,0):-1;else{for(var u=0;u<U.length;u++)if(u in U&&U[u]===c){c=u;break a}c=-1}if(0<=c)return(e=null!==Q(a,b)||S(a,g))?\"true\":null;try{var k=S(a,g)}catch(ka){}(c=null==k)||(c=typeof k,c=\"object\"==c&&null!=k||\"function\"==c);c?e=Q(a,b):e=k;return null!=e?e.toString():null}var W=[\"_\"],X=d;W[0]in X||!X.execScript||X.execScript(\"var \"+W[0]);\nfor(var Y;W.length&&(Y=W.shift());){var Z;if(Z=!W.length)Z=void 0!==V;Z?X[Y]=V:X[Y]&&X[Y]!==Object.prototype[Y]?X=X[Y]:X=X[Y]={}};; return this._.apply(null,arguments);}.apply({navigator:typeof window!='undefined'?window.navigator:null,document:typeof window!='undefined'?window.document:null}, arguments);}\n).apply(null, arguments);", "args": [{"ELEMENT": "811e93d1-eb24-4dd3-bca6-bdce7c293f25", "element-6066-11e4-a52e-4f735466cecf": "811e93d1-eb24-4dd3-bca6-bdce7c293f25"}, "innerHTML"]}
remote_connection.py       573 DEBUG    Finished Request
test_url.py                217 DEBUG    pay: VISA, MasterCard, Maestro
